"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.010888,0.001794,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.count","thrpt",10,10,946.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.KryoDeserialize:·gc.time","thrpt",10,10,1510.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize","thrpt",10,10,1820.481845,56.138338,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.alloc.rate","thrpt",10,10,3601.308926,111.416441,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.alloc.rate.norm","thrpt",10,10,2128.000142,0.000007,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Eden_Space","thrpt",10,10,3622.020247,110.524708,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,2140.282121,18.133474,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.003425,0.000616,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.002024,0.000362,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
