"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.count","thrpt",10,10,274.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.time","thrpt",10,10,388.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize","thrpt",10,10,798.671806,24.411625,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.alloc.rate","thrpt",10,10,3989.487634,122.890285,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.alloc.rate.norm","thrpt",10,10,5373.533326,0.208043,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,4022.764712,130.554484,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,5418.407299,66.640975,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.008735,0.001930,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.011774,0.002678,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.count","thrpt",10,10,675.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.time","thrpt",10,10,997.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize","thrpt",10,10,949.047237,10.413409,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.alloc.rate","thrpt",10,10,2117.353070,10.217010,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.alloc.rate.norm","thrpt",10,10,2400.694588,25.499252,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,2121.474870,43.570025,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,2405.391986,57.026263,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.002014,0.000619,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.002283,0.000700,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.count","thrpt",10,10,356.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.time","thrpt",10,10,509.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize","thrpt",10,10,1661.425624,11.382373,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.alloc.rate","thrpt",10,10,2372.900953,17.180142,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.alloc.rate.norm","thrpt",10,10,1536.449016,0.001856,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Eden_Space","thrpt",10,10,2389.305612,29.034832,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,1547.079498,17.080679,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.002231,0.000403,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.001444,0.000258,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.count","thrpt",10,10,401.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.time","thrpt",10,10,572.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize","avgt",10,10,0.011544,0.000105,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.alloc.rate","avgt",10,10,3715.848094,41.820304,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.alloc.rate.norm","avgt",10,10,4615.478858,25.500069,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,3735.601766,63.662946,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,4639.974839,56.822317,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.007097,0.001118,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.008817,0.001415,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.count","avgt",10,10,627.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.AvroSerialize:·gc.time","avgt",10,10,926.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize","avgt",10,10,0.009009,0.000098,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.alloc.rate","avgt",10,10,1636.105922,10.623716,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.alloc.rate.norm","avgt",10,10,1585.480480,12.748544,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,1644.186358,46.841384,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,1593.336442,48.169218,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
